REG_NAME;bitfield;NAME;ERROR_CODE;TYPE;SERIOUSNESS;SW_NAME;RELATIONS(MB REG);;NOT_FUNCTIONAL;SAFE_STATE;NEED_LCK_OUT
FAULTS_0;0;Gap Filler UFR Deployed Default;10;1;0;FAULTS_0_DEPL_DEFAULT;1, 3;;0;0;1
FAULTS_0;1;Gap Filler UFR Retracted Default;11;1;0;FAULTS_0_RETR_DEFAULT;2, 4;;0;0;1
FAULTS_0;2;Motor power supply failure;20;1;0;FAULTS_0_MOTOR_SUPPLY;1034, 1040;;1;0;0
FAULTS_0;3;Gap Filler Motor Failure or Step Blocked;21;1;0;FAULTS_0_MOTOR_OR_STEP;1038, 1041, 1052, 1053;;1;0;0
FAULTS_0;4;Motor open circuit;22;1;0;FAULTS_0_MOT_OPEN_CIR;1039, 1041;;1;0;0
FAULTS_0;5;Motor fricton too high;23;1;0;FAULTS_0_FRICTION;1039, 1044, 1045, 1050, 1051;;1;0;0
FAULTS_0;6;Motor overcurrent - fail to retract;24;1;0;FAULTS_0_OC_RETR;1039, 1041;;1;0;1
FAULTS_0;7;Motor overcurrent - fail to deploy;25;1;0;FAULTS_0_OC_DEPL;1039, 1041;;1;0;0
FAULTS_0;8;Encoder fault;31;1;0;FAULTS_0_ENCODER;1037, 1038, 1054;;1;0;0
FAULTS_0;9;Encoder Pulses not equal;32;1;0;FAULTS_0_ENC_PLS_NEQ;1037, 1038, 1054;;1;0;0
FAULTS_0;10;Encoder Pulses loss;33;1;0;FAULTS_0_ENC_PLS_LOST;1037, 1038, 1054;;1;0;0
FAULTS_0;11;Encoder polarity wrong ;34;1;2;FAULTS_0_ENC_POLARITY;1037, 1038, 1054;;1;0;0
FAULTS_0;12;Gap Filler installation procedure not finished;35;1;2;FAULTS_0_INSTALLATION;1043;;0;0;0
FAULTS_0;13;R1 Door Closed Relay LV Signals Contact failure;40;1;0;FAULTS_0_DC_REL_LV_SIG;1032, 1033, 1034;;1;1;1
FAULTS_0;14;R1 Door Closed Relay Motor Supply Contact failure;41;1;0;FAULTS_0_DC_REL_MOT_SPLY;1032, 1033, 1034;;1;1;1
FAULTS_0;15;R2 Zero Velocity Relay failure;42;1;0;FAULTS_0_REL_ZERO_VEL;1032, 1033, 1034;;1;1;1
FAULTS_1;0;R3 Opening Authorization Relay failure;43;1;0;FAULTS_1_REL_OP_AUTH;1032, 1033, 1034;;1;1;1
FAULTS_1;1;Conflict signal - Gap Filler Deployed Sensor with Retracted Or LockedOut;50;1;0;FAULTS_1_SIG_CONFLICT_DEPL_OR_RETRLCK;1032, 1033, 1034;;1;1;1
FAULTS_1;2;Conflict signal - Gap Filler Deployed Sensor with Closed Position Sensor;51;1;0;FAULTS_1_SIG_CONFLICT_DEPL_OR_CLOS;1032, 1033, 1034;;1;1;1
FAULTS_1;3;Conflict signal - Gap Filler Deployed Sensor with Lock Out Sensor;52;1;0;FAULTS_1_SIG_CONFLICT_DEPL_OR_LCK_OUT;1032, 1033, 1034;;1;1;0
FAULTS_1;4;Conflict signal - Gap Filler Open with Retracted Or LockedOut;53;1;0;FAULTS_1_SIG_CONFLICT_OPEN_OR_RETRLCK;1032, 1033, 1034;;1;1;1
FAULTS_1;5;Conflict signal - Gap Filler Open with Closed Position Sensor;54;1;0;FAULTS_1_SIG_CONFLICT_OPEN_OR_CLOS;1032, 1033, 1034;;1;1;1
